agent_id,episode_id,training_step,success,end_reason,episode_reward,episode_length,time_to_goal,start_goal_zone_error_xz,final_goal_zone_error_xz,normalized_task_progress,start_block_goal_distance,final_block_goal_distance,normalized_block_progress,success_goal_consistency,final_goal_error,final_center_distance_xz,final_center_distance_xyz,start_block_x,start_block_y,start_block_z,end_block_x,end_block_y,end_block_z,goal_x,goal_y,goal_z
Agent,60,300000,0,timeout,-0.9999,5000,-1,9.9181,9.9181,0.0000,12.6009,12.5652,0.0028,1.0000,12.56523,12.5587,12.5652,1.7018,1.0000,1.9429,1.7018,0.3750,1.9429,0.0000,-0.0300,-10.5000
Agent,61,305000,0,timeout,-0.9999,5000,-1,5.7630,5.7630,0.0000,8.3672,8.3135,0.0064,1.0000,8.313452,8.3036,8.3135,2.2123,1.0000,0.5125,2.2123,0.3750,0.5125,10.5000,-0.0300,0.0000
Agent,62,310000,0,timeout,-0.9999,5000,-1,9.9680,8.4211,0.1552,12.6743,11.3979,0.1007,1.0000,11.39791,11.3907,11.3979,1.8728,1.0000,1.9928,3.1520,0.3750,0.4459,0.0000,-0.0300,-10.5000
Agent,63,315000,0,timeout,-0.9999,5000,-1,12.5045,12.5962,-0.0073,15.7290,15.1484,0.0369,1.0000,15.14843,15.1430,15.1484,-4.5293,1.0000,-4.5235,-4.6209,0.3750,-0.8175,10.5000,-0.0300,0.0000
Agent,64,320000,0,timeout,-0.9999,5000,-1,4.2510,2.9023,0.3173,7.6900,7.1174,0.0745,1.0000,7.117399,7.1059,7.1174,3.4877,1.0000,-3.7243,4.5869,0.3750,-5.0729,0.0000,-0.0300,-10.5000
Agent,65,325000,0,timeout,-0.9999,5000,-1,3.7174,3.7174,0.0000,8.5529,8.5003,0.0061,1.0000,8.500302,8.4906,8.5003,-5.7555,1.0000,-4.2578,-5.7555,0.3750,-4.2578,0.0000,-0.0300,-10.5000
Agent,66,330000,0,timeout,-0.9999,5000,-1,10.2384,10.2384,0.0000,12.8079,12.7729,0.0027,1.0000,12.77288,12.7665,12.7729,0.2883,1.0000,-2.2632,0.2883,0.3750,-2.2632,0.0000,-0.0300,10.5000
Agent,67,335000,0,timeout,-0.9999,5000,-1,9.6552,10.7855,-0.1171,12.9105,18.0095,-0.3950,1.0000,18.00954,18.0050,18.0095,4.1554,1.0000,1.6800,12.1250,0.3750,2.8103,0.0000,-0.0300,-10.5000
Agent,68,340000,0,timeout,-0.9999,5000,-1,10.6843,5.2695,0.5068,13.4381,8.6078,0.3594,1.0000,8.607814,8.5983,8.6078,2.2452,1.0000,2.7091,3.6303,0.3750,-2.7057,0.0000,-0.0300,-10.5000
Agent,69,345000,0,timeout,-0.9999,5000,-1,6.8319,6.8319,0.0000,9.7008,9.6545,0.0048,1.0000,9.654471,9.6460,9.6545,2.3446,1.0000,-1.1433,2.3446,0.3750,-1.1433,0.0000,-0.0300,-10.5000
Agent,70,350000,0,timeout,-0.9999,5000,-1,10.1510,10.1510,0.0000,13.1742,13.1401,0.0026,1.0000,13.14008,13.1338,13.1401,-2.1758,1.0000,3.4383,-2.1758,0.3750,3.4383,10.5000,-0.0300,0.0000
Agent,71,355000,0,timeout,-0.9999,5000,-1,5.4413,5.4413,0.0000,8.0976,8.0420,0.0069,1.0000,8.042004,8.0318,8.0420,-1.0251,1.0000,-2.5339,-1.0251,0.3750,-2.5339,0.0000,-0.0300,-10.5000
