agent_id,episode_id,training_step,success,end_reason,mean_goal_velocity,goal_velocity_variance,goal_velocity_acceleration_variance,goal_velocity_jerk,rotation_variance,action_entropy,repeated_action_ratio,policy_smoothness,control_samples,mean_angular_speed
Agent,109,15120,1,goal,1.5896,18.1280,0.8058,0.1319,0.0000,1.7276,0.8778,2.7143,180.0000,0.0000
Agent,110,15275,1,goal,0.9540,5.1983,0.1842,0.0908,0.0000,1.5391,0.8839,2.8235,155.0000,0.0000
Agent,111,15339,1,goal,3.1270,26.6610,2.2490,0.3859,0.0000,1.2788,0.8906,2.8333,64.0000,0.0000
Agent,112,15419,1,goal,3.1593,27.7490,1.3539,0.3394,0.0000,1.4582,0.8750,3.8889,80.0000,0.0000
Agent,113,15534,1,goal,-0.4865,2.0972,0.0350,0.0452,0.0000,1.7250,0.8261,2.3684,115.0000,0.0000
Agent,114,15620,1,goal,2.2691,17.3512,1.6110,0.4051,0.0000,1.3661,0.8953,2.8750,86.0000,0.0000
Agent,115,15731,1,goal,2.9731,36.5532,0.8338,0.1781,0.0000,1.4597,0.9099,3.4444,111.0000,0.0000
Agent,116,15774,1,goal,8.4702,67.8176,6.7169,1.1304,0.0000,0.6568,0.9070,1.0000,43.0000,0.0000
Agent,117,15871,1,goal,4.0872,73.4228,3.0249,0.3582,0.0000,1.5653,0.9072,3.1250,97.0000,0.0000
Agent,118,15952,1,goal,-0.0476,1.9365,0.2157,0.1203,0.0000,1.4804,0.8889,2.6250,81.0000,0.0000
Agent,119,16126,1,goal,1.3047,17.5683,0.3067,0.1778,0.0000,1.5577,0.8851,3.0000,174.0000,0.0000
Agent,120,16206,1,goal,2.5906,45.8001,3.7949,0.4379,0.0000,1.6028,0.8750,2.7778,80.0000,0.0000
Agent,121,16260,1,goal,1.9931,25.2239,4.8902,0.6337,0.0000,1.1439,0.8889,2.6000,54.0000,0.0000
Agent,122,16339,1,goal,3.9814,40.2466,1.9003,0.3202,0.0000,1.0460,0.9367,3.2500,79.0000,0.0000
Agent,123,16411,1,goal,5.2130,61.2291,2.0686,0.4786,0.0000,1.5789,0.8889,2.7143,72.0000,0.0000
Agent,124,16552,1,goal,2.6276,32.4688,0.2185,0.0792,0.0000,1.6549,0.8936,2.9286,141.0000,0.0000
Agent,125,16696,1,goal,0.5693,6.0659,0.6752,0.1593,0.0000,1.6566,0.8819,2.6875,144.0000,0.0000
Agent,126,16758,1,goal,5.5279,46.9751,4.3091,0.5375,0.0000,1.1772,0.8710,2.7143,62.0000,0.0000
Agent,127,16825,1,goal,2.2511,22.1143,2.5439,0.6069,0.0000,1.4267,0.8507,4.0000,67.0000,0.0000
Agent,128,16911,1,goal,0.5302,2.3500,0.5112,0.1670,0.0000,1.1439,0.9070,3.0000,86.0000,0.0000
Agent,129,17019,1,goal,0.4208,2.3988,0.5478,0.1469,0.0000,1.6730,0.8796,2.4167,108.0000,0.0000
Agent,130,17167,1,goal,-0.2289,0.3904,0.0070,0.0165,0.0000,1.4953,0.8784,3.4118,148.0000,0.0000
Agent,131,17233,1,goal,1.3246,24.4799,7.7592,0.7279,0.0000,1.3847,0.8939,2.8333,66.0000,0.0000
Agent,132,17291,1,goal,3.1178,26.2002,3.0088,0.4689,0.0000,1.2684,0.8966,1.8000,58.0000,0.0000
