agent_id,episode_id,training_step,success,end_reason,episode_reward,episode_length,time_to_goal,start_block_goal_distance,final_block_goal_distance,normalized_block_progress,final_goal_error,start_block_x,start_block_y,start_block_z,end_block_x,end_block_y,end_block_z,goal_x,goal_y,goal_z
Agent,120,555620,0,timeout,-0.9999,5000,-1,11.6352,18.3821,-0.5799,18.3821,0.1469,1.0000,-5.2085,-5.1549,0.3750,-9.6262,10.5000,-0.0300,-0.0001
Agent,121,560620,0,timeout,-0.9999,5000,-1,11.2894,10.4403,0.0752,10.4403,0.9900,1.0000,-5.9958,6.1254,0.3750,9.4708,10.5000,-0.0300,-0.0001
Agent,122,565620,0,timeout,-0.9999,5000,-1,7.9553,13.8974,-0.7469,13.8974,-3.5030,1.0000,-3.4320,-12.1231,0.3750,-3.7174,-0.0001,-0.0300,-10.5000
Agent,123,570620,0,timeout,-0.9999,5000,-1,12.0463,4.3411,0.6396,4.3411,4.5212,1.0000,-0.6181,-0.4693,0.3750,6.2034,0.0001,-0.0300,10.5000
Agent,124,575620,0,timeout,-0.9999,5000,-1,15.6492,6.8794,0.5604,6.8794,-1.7891,1.0000,5.0124,3.5184,0.3750,-4.6023,-0.0001,-0.0300,-10.5000
Agent,125,580620,0,timeout,-0.9999,5000,-1,13.3660,9.2951,0.3046,9.2951,2.7069,1.0000,2.5484,8.3379,0.3750,-6.4118,-0.0001,-0.0300,-10.5000
Agent,126,585620,0,timeout,-0.9999,5000,-1,7.6899,12.4855,-0.6236,12.4855,-3.2442,1.0000,-3.6044,-5.8655,0.3750,0.5145,-0.0001,-0.0300,-10.5000
Agent,127,590620,0,timeout,-0.9999,5000,-1,15.4707,22.7087,-0.4679,22.7087,2.8307,1.0000,-4.6746,1.9081,0.3750,-12.1248,0.0001,-0.0300,10.5000
Agent,128,594298,1,goal,4.2644,3678,3678,12.8094,6.0990,0.5239,6.0990,1.2553,1.0000,2.2060,5.5461,0.3750,-7.9952,-0.0001,-0.0300,-10.5000
Agent,129,599298,0,timeout,-0.9999,5000,-1,10.7057,9.9089,0.0744,9.9089,-0.2285,1.0000,-2.8367,-1.3039,0.3750,-3.6679,-10.5000,-0.0300,0.0001
Agent,130,604298,0,timeout,-0.9999,5000,-1,13.9908,19.7287,-0.4101,19.7287,-2.3536,1.0000,3.2529,0.8002,0.3750,9.2083,-0.0001,-0.0300,-10.5000
Agent,131,609298,0,timeout,-0.9999,5000,-1,8.7160,8.6665,0.0057,8.6665,3.0034,1.0000,4.3254,3.0043,0.3750,4.3310,10.5000,-0.0300,-0.0001
Agent,132,614298,0,timeout,-0.9999,5000,-1,6.8473,6.4589,0.0567,6.4589,2.0529,1.0000,4.0494,-1.4283,0.3750,4.2141,0.0001,-0.0300,10.5000
Agent,133,619298,0,timeout,-0.9999,5000,-1,9.7114,16.0760,-0.6554,16.0760,-1.8770,1.0000,4.3467,0.1886,0.3750,12.0012,-10.5000,-0.0300,0.0001
Agent,134,624298,0,timeout,-0.9999,5000,-1,12.6010,10.7332,0.1482,10.7332,-1.0231,1.0000,-4.9944,2.3513,0.3750,-6.9740,10.5000,-0.0300,-0.0001
Agent,135,629298,0,timeout,-0.9999,5000,-1,9.1044,11.0514,-0.2139,11.0514,1.4734,1.0000,0.5912,-0.4490,0.3750,-1.4454,10.5000,-0.0300,-0.0001
Agent,136,634298,0,timeout,-0.9999,5000,-1,9.8522,16.3410,-0.6586,16.3410,4.0083,1.0000,1.5591,12.1264,0.3750,-0.4460,0.0001,-0.0300,10.5000
